Unnamed: 0,UniqueID,Section_a,Section_b,Section_c,Section_de,Section_f,Section_g,Section_h,Section_t,Section_ij,y_TotalFactors
1061,3687,0,4,0,0,0,1,0,0,0,2.0
1085,3703,2,1,2,0,1,2,1,1,0,8.0
1086,3703,0,0,0,0,0,0,0,0,0,0.0
1087,3703,0,0,0,0,0,0,0,1,4,2.0
1131,3737,4,3,4,4,4,4,4,1,0,9.0
1132,3737,0,0,2,0,0,0,0,0,0,1.0
1133,3737,0,0,0,0,1,1,2,0,0,3.0
1200,3790,3,0,3,0,0,1,2,3,0,6.0
1201,3790,0,0,1,0,0,0,0,3,0,3.0
1202,3790,0,3,0,0,1,2,3,3,0,
1207,3795,0,0,0,1,0,1,0,0,0,2.0
1208,3795,2,3,0,3,3,0,4,1,0,
1209,3795,0,1,1,2,0,0,0,1,0,
1214,3799,4,3,0,2,2,3,2,0,0,6.0
1215,3799,0,2,0,1,0,0,2,3,0,4.0
1216,3799,2,1,0,0,0,1,2,3,0,5.0
1222,3804,1,3,0,0,0,0,0,1,0,3.0
1223,3804,3,3,0,1,1,0,0,0,0,4.0
1224,3804,0,2,0,0,0,1,0,0,0,2.0
1296,3865,0,0,0,0,0,0,0,0,0,0.0
1297,3865,0,0,0,0,0,0,0,0,0,0.0
1298,3865,0,0,0,0,0,0,0,0,0,0.0
1318,3877,0,0,0,0,0,0,0,1,0,1.0
1319,3877,1,2,0,1,0,0,0,0,0,3.0
1320,3877,1,1,1,1,0,1,2,0,1,7.0
1341,3890,2,1,3,2,1,0,1,0,0,6.0
1342,3890,0,0,0,2,0,0,0,0,0,1.0
1343,3890,0,0,0,0,0,0,3,0,0,1.0
1344,3891,0,1,1,0,0,1,1,0,1,5.0
1345,3891,0,0,0,0,0,2,1,0,0,2.0
1346,3891,0,0,0,0,0,0,0,0,0,0.0
1404,3938,0,0,1,0,0,0,0,1,0,2.0
1405,3938,0,0,3,0,0,0,0,0,0,1.0
1406,3938,0,0,0,0,0,0,0,0,0,0.0
1432,3959,2,3,1,1,3,1,3,0,0,7.0
1433,3959,0,0,0,0,0,0,0,0,0,0.0
1434,3959,0,0,0,2,0,1,0,0,0,2.0
1435,3960,2,2,3,1,1,1,0,0,0,6.0
1436,3960,0,0,0,0,0,2,0,0,0,1.0
1437,3960,0,0,2,0,0,1,0,1,0,3.0
1443,3965,2,2,3,2,1,1,4,1,0,9.0
1444,3965,1,1,1,0,0,0,1,0,0,5.0
1445,3965,0,0,3,0,0,1,0,0,0,2.0
1495,4003,0,2,4,0,1,1,1,0,0,5.0
1496,4003,0,0,0,0,1,1,1,1,0,5.0
1497,4003,0,0,0,0,1,1,0,0,0,3.0
1499,4005,4,3,4,1,1,3,4,1,2,9.0
1500,4005,4,4,4,2,3,4,4,3,4,
1501,4005,3,3,4,2,2,4,2,3,3,
1502,4006,2,0,1,1,1,1,2,1,0,7.0
1503,4006,1,0,0,2,0,1,1,0,0,4.0
1504,4006,0,1,1,1,0,0,3,1,0,
1518,4015,0,4,3,2,3,1,3,3,2,8.0
1519,4015,0,0,0,0,0,0,0,0,0,0.0
1520,4015,0,0,1,0,0,0,0,0,0,1.0
1531,4024,1,4,0,1,0,2,0,0,0,5.0
1532,4024,0,0,0,0,0,0,0,0,0,0.0
1533,4024,0,0,0,0,0,0,0,0,0,0.0
1555,4041,3,2,2,2,0,0,3,0,2,6.0
1556,4041,0,0,0,0,2,0,0,0,0,1.0
1557,4041,4,2,1,1,1,0,2,1,1,
1560,4044,3,3,1,2,2,2,1,0,0,8.0
